id,recipe_id,direction_number,direction,created_at,updated_at
32,3,16,"You can also use frozen shrimp for this recipe","2022-12-15 14:48:10","2022-12-15 14:48:10"
33,3,17,"Make sure to thaw it first before cooking","2022-12-15 14:48:10","2022-12-15 14:48:10"
34,3,18,"The fried tofu is added next","2022-12-15 14:48:10","2022-12-15 14:48:10"
35,3,19,"Give it a quick stir and then add the mung bean sprout and carrot","2022-12-15 14:48:10","2022-12-15 14:48:10"
36,3,20,"Toss and saute for 1 to 2 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
37,3,21,"Next goes the bell peppers","2022-12-15 14:48:10","2022-12-15 14:48:10"
38,3,22,"Season with oyster sauce and ground black pepper","2022-12-15 14:48:10","2022-12-15 14:48:10"
39,3,23,"Fish sauce or patis can also be used as a substitute to oyster sauce","2022-12-15 14:48:10","2022-12-15 14:48:10"
40,3,24,"Add the shrimp","2022-12-15 14:48:10","2022-12-15 14:48:10"
41,3,25,"Cook until it turns orangey","2022-12-15 14:48:10","2022-12-15 14:48:10"
42,3,26,"You can also add the seasoning","2022-12-15 14:48:10","2022-12-15 14:48:10"
43,5,1,"Heat the cooking oil in a pan","2022-12-15 14:48:10","2022-12-15 14:48:10"
44,5,2,"Once the oil becomes hot, saute the garlic and onion","2022-12-15 14:48:10","2022-12-15 14:48:10"
45,5,3,"Put-in the pork and then cook for 5 minutes or until color turns medium brown","2022-12-15 14:48:10","2022-12-15 14:48:10"
46,5,4,"Pour-in half of the beef broth","2022-12-15 14:48:10","2022-12-15 14:48:10"
47,5,5,"Let boil and simmer until the liquid totally evaporate","2022-12-15 14:48:10","2022-12-15 14:48:10"
48,5,6,"Put-in the cabbage","2022-12-15 14:48:10","2022-12-15 14:48:10"
49,5,7,"Cook for 1 to 2 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
50,5,8,"Add the red bell pepper","2022-12-15 14:48:10","2022-12-15 14:48:10"
51,5,9,"Stir and cook for 1 minute more","2022-12-15 14:48:10","2022-12-15 14:48:10"
52,5,10,"Add salt and pepper to taste","2022-12-15 14:48:10","2022-12-15 14:48:10"
53,5,11,"Pour-in remaining beef broth","2022-12-15 14:48:10","2022-12-15 14:48:10"
54,5,12,"Let boil","2022-12-15 14:48:10","2022-12-15 14:48:10"
55,5,13,Stir,"2022-12-15 14:48:10","2022-12-15 14:48:10"
56,5,14,"Transfer to a serving bowl","2022-12-15 14:48:10","2022-12-15 14:48:10"
57,5,15,Serve,"2022-12-15 14:48:10","2022-12-15 14:48:10"
58,5,16,"Share and enjoy!","2022-12-15 14:48:10","2022-12-15 14:48:10"
59,6,1,"Heat cooking oil in a pan","2022-12-15 14:48:10","2022-12-15 14:48:10"
60,6,2,"Fry the tofu in medium heat for about 4 to 5 minutes per side","2022-12-15 14:48:10","2022-12-15 14:48:10"
61,6,3,"Turn off heat Remove the tofu from the pan and let cool","2022-12-15 14:48:10","2022-12-15 14:48:10"
62,6,4,"Slice the fried tofu into small cubes Set aside","2022-12-15 14:48:10","2022-12-15 14:48:10"
63,6,5,"On the same pan, remove excess cooking oil until about 1 tablespoon of oil is left","2022-12-15 14:48:10","2022-12-15 14:48:10"
64,6,6,"Heat the pan Saut?Ÿ?? garlic and onion for about 2 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
65,6,7,"Put-in the sliced tofu and cook for 2 to 3 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
66,6,8,"Add the oyster sauce and ground black pepper","2022-12-15 14:48:10","2022-12-15 14:48:10"
67,6,9,"Stir Put-in the kangkong","2022-12-15 14:48:10","2022-12-15 14:48:10"
68,6,10,"Stir fry for 4 to 5 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
69,6,11,"Add salt to taste and then put-in the chilies","2022-12-15 14:48:10","2022-12-15 14:48:10"
70,6,12,"Turn off heat Transfer to a serving plate","2022-12-15 14:48:10","2022-12-15 14:48:10"
71,6,13,Serve,"2022-12-15 14:48:10","2022-12-15 14:48:10"
72,6,14,"Share and enjoy","2022-12-15 14:48:10","2022-12-15 14:48:10"
73,4,1,"Drain sardines and place in small mixing bowl","2022-12-15 14:48:10","2022-12-15 14:48:10"
74,4,2,"Add next 5 ingredients, mix well","2022-12-15 14:48:10","2022-12-15 14:48:10"
75,4,3,"Toast bread add sardine mixture evenly to 3 slices of toasted bread","2022-12-15 14:48:10","2022-12-15 14:48:10"
76,4,4,"Add greens Cover with remaining toast","2022-12-15 14:48:10","2022-12-15 14:48:10"
77,7,1,"You start by boiling the eggplant until its tender then remove the skin and chop","2022-12-15 14:48:10","2022-12-15 14:48:10"
78,7,2,"In a pan, make it nice and hot saut?Ÿ?? the garlic onions and tomatoes over medium to hight heat","2022-12-15 14:48:10","2022-12-15 14:48:10"
79,7,3,"Once you can already smell the aroma of the vegetables add in the chopped eggplant and toss in your Knorr Chicken cubes","2022-12-15 14:48:10","2022-12-15 14:48:10"
80,7,4,"Continue saut?Ÿ??ing for 5 minutes Add the scrambled eggs on top of the vegetables, try covering all sides","2022-12-15 14:48:10","2022-12-15 14:48:10"
81,7,5,"Continue to cook for about 3 minutes or until the egg is fully cooked","2022-12-15 14:48:10","2022-12-15 14:48:10"
82,7,6,"Now it&#039;s ready serve","2022-12-15 14:48:10","2022-12-15 14:48:10"
83,8,1,"In a medium-sized pan make it nice and warm over high-medium heat, add oil and saut?Ÿ?? onions until soft and brown","2022-12-15 14:48:10","2022-12-15 14:48:10"
84,8,2,"Add water ketchup and crushed Knorr Chicken cubes","2022-12-15 14:48:10","2022-12-15 14:48:10"
85,8,3,"Let it boil until everything is dissolved and mixed properly","2022-12-15 14:48:10","2022-12-15 14:48:10"
86,8,4,"Lower the heat to simmer","2022-12-15 14:48:10","2022-12-15 14:48:10"
87,8,5,"Add in the sliced pechay and egg halves","2022-12-15 14:48:10","2022-12-15 14:48:10"
88,8,6,"Continue to simmer until pechay is cooked","2022-12-15 14:48:10","2022-12-15 14:48:10"
89,8,7,"Try not to stir too much to prevent the eggs from deforming","2022-12-15 14:48:10","2022-12-15 14:48:10"
90,8,8,"Add the fried tofu cubes","2022-12-15 14:48:10","2022-12-15 14:48:10"
91,8,9,"Continue to simmer for 2-3 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
92,8,10,"Serve hot and Enjoy","2022-12-15 14:48:10","2022-12-15 14:48:10"
93,8,1,"Heat oil in cooking pot","2022-12-15 14:48:10","2022-12-15 14:48:10"
94,9,2,"Put-in ginger and cook for a minute","2022-12-15 14:48:10","2022-12-15 14:48:10"
95,9,3,"Add the corn and chicken stock","2022-12-15 14:48:10","2022-12-15 14:48:10"
96,9,4,"Stir and let boil","2022-12-15 14:48:10","2022-12-15 14:48:10"
97,9,5,"Put-in the chicken, soy sauce, sesame oil, salt, and pepper","2022-12-15 14:48:10","2022-12-15 14:48:10"
98,9,6,"Let boil and cook for 7 to 10 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
99,9,7,"Combine cornstarch with cold water and mix well","2022-12-15 14:48:10","2022-12-15 14:48:10"
100,9,8,"Add-in the mixture and stir continuously while cooking","2022-12-15 14:48:10","2022-12-15 14:48:10"
101,9,9,"Stir in the beaten eggs","2022-12-15 14:48:10","2022-12-15 14:48:10"
102,9,10,"Continue stirring to prevent the eggs from forming","2022-12-15 14:48:10","2022-12-15 14:48:10"
103,9,11,"Add the green onions and cook for another 2 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
104,9,12,"Transfer to a serving bowl","2022-12-15 14:48:10","2022-12-15 14:48:10"
105,9,13,"Serve share and enjoy!","2022-12-15 14:48:10","2022-12-15 14:48:10"
106,10,1,"Place the ampalaya in a large bowl","2022-12-15 14:48:10","2022-12-15 14:48:10"
107,10,2,"Add salt and lukewarm water then leave for 5 minutesPlace the ampalaya in a cheesecloth then squeeze tightly until all liquid drips","2022-12-15 14:48:10","2022-12-15 14:48:10"
108,10,3,"Heat the pan and place the cooking oil","2022-12-15 14:48:10","2022-12-15 14:48:10"
109,10,4,"Saute the garlic, onion, and tomato","2022-12-15 14:48:10","2022-12-15 14:48:10"
110,10,5,"Add the ampalaya mix well with the other ingredients","2022-12-15 14:48:10","2022-12-15 14:48:10"
111,10,6,"Put-in salt and pepper to taste","2022-12-15 14:48:10","2022-12-15 14:48:10"
112,10,7,"Beat the eggs and pour over the ampalaya then let the eggs cook partially","2022-12-15 14:48:10","2022-12-15 14:48:10"
113,10,8,"Mix the egg with the other ingredientsServe hot","2022-12-15 14:48:10","2022-12-15 14:48:10"
114,10,9,"Share and Enjoy!","2022-12-15 14:48:10","2022-12-15 14:48:10"
115,11,1,"In a deep pan, heat and add olive oil","2022-12-15 14:48:10","2022-12-15 14:48:10"
116,11,2,"Saute onion, garlic tomatoes and chicken bouillon for few minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
117,11,3,"Add ground pork and stir","2022-12-15 14:48:10","2022-12-15 14:48:10"
118,11,4,"Cook for 5-10 minutes over medium low heat until light brown and fully cooked","2022-12-15 14:48:10","2022-12-15 14:48:10"
119,11,5,"Pour-in water and bring into a quick boil","2022-12-15 14:48:10","2022-12-15 14:48:10"
120,11,6,"Cover pan and reduce heat to simmer to about 10 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
121,11,7,"Taste to see is salt is needed","2022-12-15 14:48:10","2022-12-15 14:48:10"
122,11,8,"Add accordingly","2022-12-15 14:48:10","2022-12-15 14:48:10"
123,11,9,"Add pechay and stir","2022-12-15 14:48:10","2022-12-15 14:48:10"
124,11,10,"Simmer for 2 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
125,11,11,"Transfer in a serving dish and serve hot with steamed rice Enjoy!","2022-12-15 14:48:10","2022-12-15 14:48:10"
126,12,1,"Start by getting your pan nice and hot over high heat","2022-12-15 14:48:10","2022-12-15 14:48:10"
127,12,2,"Add oil and saut?Ÿ?? garlic onion and tomatoes until soft","2022-12-15 14:48:10","2022-12-15 14:48:10"
128,12,3,"Add the rest of the okra shredded tinapa Knorr Pork Cubes and water","2022-12-15 14:48:10","2022-12-15 14:48:10"
129,12,4,"Let it simmer for about 5 minutes and thats it","2022-12-15 14:48:10","2022-12-15 14:48:10"
130,13,1,"In a medium pan get it nice and war over high-medium heat add in the oil and saut?Ÿ?? the onions and garlic until soft and brown","2022-12-15 14:48:10","2022-12-15 14:48:10"
131,13,2,"Add in the ampalaya leaves water Knorr Chicken Cubes and deboned tinapa flakes","2022-12-15 14:48:10","2022-12-15 14:48:10"
132,13,3,"Let the dish simmer until all ingredients are fully cooked","2022-12-15 14:48:10","2022-12-15 14:48:10"
133,14,1,"Heat the cooking oil in a pan","2022-12-15 14:48:10","2022-12-15 14:48:10"
134,14,2,"Saut?Ÿ?? the garlic, onion, and tomato When the tomato becomes soft add the ground pork and then cook for 6 to 8 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
135,14,3,"Put-in the chayote","2022-12-15 14:48:10","2022-12-15 14:48:10"
136,14,4,"Stir Cover Let boil and simmer for 7 to 10 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
137,14,5,"Add salt and ground black pepper","2022-12-15 14:48:10","2022-12-15 14:48:10"
138,14,6,"Stir Serve with hot rice Share and enjoy!","2022-12-15 14:48:10","2022-12-15 14:48:10"
139,15,1,"Begin by getting a bowl and combine rock salt and banana heart","2022-12-15 14:48:10","2022-12-15 14:48:10"
140,15,2,"Leave this for 10 minutes Wash and squeeze well and repeat the process 2 - 3 times","2022-12-15 14:48:10","2022-12-15 14:48:10"
141,15,3,"Drain excess water","2022-12-15 14:48:10","2022-12-15 14:48:10"
142,15,4,"Set aside Get another bowl and combine the eggs banana heart garlic onions carrots dissolved Knorr Pork Cubes and 2 tbsp flour","2022-12-15 14:48:10","2022-12-15 14:48:10"
143,15,5,"Mix this well and shape into balls","2022-12-15 14:48:10","2022-12-15 14:48:10"
144,15,6,"Prepare 3 shallow trays for flour egg and breadcrumb mixture","2022-12-15 14:48:10","2022-12-15 14:48:10"
145,15,7,"Coat the banana heart balls in flour, dip it in beaten egg before rolling it in breadcrumbs","2022-12-15 14:48:10","2022-12-15 14:48:10"
146,15,8,"Fry the banana balls in a preheated pan filled with cooking oil and cook until brown in color","2022-12-15 14:48:10","2022-12-15 14:48:10"
147,15,9,"Get ready to taste and pair this with your favourite condiment of ketchup or sweet chili sauce","2022-12-15 14:48:10","2022-12-15 14:48:10"
148,15,10,"You will just love how delicious and healthy this dish is","2022-12-15 14:48:10","2022-12-15 14:48:10"
149,16,1,"First get a pot and get it nice and hot over medium high heat","2022-12-15 14:48:10","2022-12-15 14:48:10"
150,16,2,"Pour some oil and throw in the onion and half of the ginger","2022-12-15 14:48:10","2022-12-15 14:48:10"
151,16,3,"Gently add the chicken and saut?Ÿ?? for a good 1 minute","2022-12-15 14:48:10","2022-12-15 14:48:10"
152,16,4,"Drizzle fish sauce over and mix this well","2022-12-15 14:48:10","2022-12-15 14:48:10"
153,16,5,"Place the sayote and coconut meat before pouring the coconut water and the remaining ginger","2022-12-15 14:48:10","2022-12-15 14:48:10"
154,16,6,"Let this simmer for a minute before adding the Knorr Chicken Cubes","2022-12-15 14:48:10","2022-12-15 14:48:10"
155,16,7,"When the Chicken and vegetables are cooked through top the Tinola with dahon ng sili and simmer for another minute","2022-12-15 14:48:10","2022-12-15 14:48:10"
156,16,8,"This Tinola sa Buko definitely soothes and comforts","2022-12-15 14:48:10","2022-12-15 14:48:10"
157,16,9,"Serve this to your family and see their love for you grow immensely","2022-12-15 14:48:10","2022-12-15 14:48:10"
158,17,1,"Begin by getting your pan nice and hot over medium high heat","2022-12-15 14:48:10","2022-12-15 14:48:10"
159,17,2,"Pour some oil and throw in the garlic and saut?Ÿ?? this until lightly brown","2022-12-15 14:48:10","2022-12-15 14:48:10"
160,17,3,"Into the pan toss the beef and saut?Ÿ?? a good 1 minute over high heat, continue cooking until meat turns brown","2022-12-15 14:48:10","2022-12-15 14:48:10"
161,17,4,"Remove the meat and set this aside","2022-12-15 14:48:10","2022-12-15 14:48:10"
162,17,5,"Using the same pan, add the water next and bring this to a boil before adding the Knorr Beef Cube and sigarilyas","2022-12-15 14:48:10","2022-12-15 14:48:10"
163,17,6,"Simmer until the vegetable is cooked","2022-12-15 14:48:10","2022-12-15 14:48:10"
164,17,7,"Return the beef back and just give this a nice sprinkle of Knorr Liquid Seasoning sugar and pepper","2022-12-15 14:48:10","2022-12-15 14:48:10"
165,17,8,"Mix well before adding the cornstarch dissolved in water","2022-12-15 14:48:10","2022-12-15 14:48:10"
166,17,9,"Continue to cook until sauce thickens and thats our dish Just taste and adjust the seasoning","2022-12-15 14:48:10","2022-12-15 14:48:10"
167,18,1,"In a large pot Add the water place the cubed squash, chopped onion and Knorr Chicken Cubes and let it simmer until the squash cubes are fork tender","2022-12-15 14:48:10","2022-12-15 14:48:10"
168,18,2,"Once the squash is soft and tender add the malunggay leaves and let it simmer for about 1 minute","2022-12-15 14:48:10","2022-12-15 14:48:10"
169,18,1,"Begin by making the annatto seed oil by saut?Ÿ??ing 1 tablespoon of atsuete seeds in 3 tablespoons vegetable oil","2022-12-15 14:48:10","2022-12-15 14:48:10"
170,18,2,"Once the seeds turn dark, remove and discard","2022-12-15 14:48:10","2022-12-15 14:48:10"
171,18,3,"Next peel back corn husks making sure they are still attached","2022-12-15 14:48:10","2022-12-15 14:48:10"
172,18,4,"Remove and discard silk or corn hair","2022-12-15 14:48:10","2022-12-15 14:48:10"
173,18,5,"Pull the husks back over the corn and let it soak in cold water for about 10 minutes (this is to prevent the corn from burning when grilling)","2022-12-15 14:48:10","2022-12-15 14:48:10"
174,18,6,"Set the grill on high heat and grill the corn, rotating occasionally until the husks are slightly charred and corn is tender","2022-12-15 14:48:10","2022-12-15 14:48:10"
175,18,7,"This will take about 15 to 20 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
176,18,8,"Get a bowl and combine softened butter Knorr Liquid Seasoning Knorr Chicken Cube grated ginger and annatto seed oil","2022-12-15 14:48:10","2022-12-15 14:48:10"
177,18,9,"Carefully peel back husks with towel using a knife","2022-12-15 14:48:10","2022-12-15 14:48:10"
178,18,10,"Brush to coat the kernels with Knorr inasal mixture and that?›ƒ?ªƒ?›s it","2022-12-15 14:48:10","2022-12-15 14:48:10"
179,18,11,"Serve hot with your favourite grilled meat or eat as is","2022-12-15 14:48:10","2022-12-15 14:48:10"
180,18,12,"This will definitely make your day","2022-12-15 14:48:10","2022-12-15 14:48:10"
181,19,1,"Begin by making the annatto seed oil by saut?Ÿ??ing 1 tablespoon of atsuete seeds in 3 tablespoons vegetable oil","2022-12-15 14:48:10","2022-12-15 14:48:10"
182,19,2,"Once the seeds turn dark, remove and discard","2022-12-15 14:48:10","2022-12-15 14:48:10"
183,19,3,"Next peel back corn husks making sure they are still attached","2022-12-15 14:48:10","2022-12-15 14:48:10"
184,19,4,"Remove and discard silk or corn hair","2022-12-15 14:48:10","2022-12-15 14:48:10"
185,19,5,"Pull the husks back over the corn and let it soak in cold water for about 10 minutes (this is to prevent the corn from burning when grilling)","2022-12-15 14:48:10","2022-12-15 14:48:10"
186,19,6,"Set the grill on high heat and grill the corn, rotating occasionally until the husks are slightly charred and corn is tender","2022-12-15 14:48:10","2022-12-15 14:48:10"
187,19,7,"This will take about 15 to 20 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
188,19,8,"Get a bowl and combine softened butter Knorr Liquid Seasoning Knorr Chicken Cube grated ginger and annatto seed oil","2022-12-15 14:48:10","2022-12-15 14:48:10"
189,19,9,"Carefully peel back husks with towel using a knife","2022-12-15 14:48:10","2022-12-15 14:48:10"
190,19,10,"Brush to coat the kernels with Knorr inasal mixture and that?›ƒ?ªƒ?›s it","2022-12-15 14:48:10","2022-12-15 14:48:10"
191,19,11,"Serve hot with your favourite grilled meat or eat as is","2022-12-15 14:48:10","2022-12-15 14:48:10"
192,19,12,"This will definitely make your day","2022-12-15 14:48:10","2022-12-15 14:48:10"
193,20,1,"Heat a cooking pot then and add the bacon fat","2022-12-15 14:48:10","2022-12-15 14:48:10"
194,20,2,"Saut?Ÿ?? the ginger for 1 to 2 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
195,20,3,"Add the chicken and cook until outer part turns brown","2022-12-15 14:48:10","2022-12-15 14:48:10"
196,20,4,"Pour-in the fish sauce and cook in low heat for 5 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
197,20,5,"Pour the chicken broth and increase the heat to medium then let boil","2022-12-15 14:48:10","2022-12-15 14:48:10"
198,20,6,"Simmer for 30 minutes or until the chicken is tender and at least half of the liquid evaporates","2022-12-15 14:48:10","2022-12-15 14:48:10"
199,20,7,"Add the spinach and cook for a few seconds","2022-12-15 14:48:10","2022-12-15 14:48:10"
200,20,8,"Turn of heat and cover for at least 2 minutes to further cook the spinach","2022-12-15 14:48:10","2022-12-15 14:48:10"
201,20,9,"Transfer to a serving bowl and serve share and enjoy!","2022-12-15 14:48:10","2022-12-15 14:48:10"
202,21,1,"Bring the mung beans and the water to a boil in a pot cook at a boil until the beans are soft about 40 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
203,21,2,"Mash the beans set aside","2022-12-15 14:48:10","2022-12-15 14:48:10"
204,21,3,"Heat the olive oil in a large pot cook and stir the onion and garlic in the hot oil over medium heat until softened 5 to 7 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
205,21,4,"Add the pork season with salt and pepper","2022-12-15 14:48:10","2022-12-15 14:48:10"
206,21,5,"Continue cooking the mixture another 3 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
207,21,6,"Gently stir the prawns into the mixture cook 2 minutes more","2022-12-15 14:48:10","2022-12-15 14:48:10"
208,21,7,"Add the tomatoes cook another 3 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
209,21,8,"Reduce heat and pour the chicken broth over the mixture allow the mixture to simmer in the broth for 5 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
210,21,9,"Add the mashed beans to the soup; mix well","2022-12-15 14:48:10","2022-12-15 14:48:10"
211,21,10,"Cook another 5 minutes, stirring frequently to prevent any of the mixture from sticking to the bottom of the pot","2022-12-15 14:48:10","2022-12-15 14:48:10"
212,21,11,"Add more chicken broth or water if the soup is too thick","2022-12-15 14:48:10","2022-12-15 14:48:10"
213,21,12,"Stir the spinach leaves into the soup and cook 2 minutes more before serving hot","2022-12-15 14:48:10","2022-12-15 14:48:10"
214,22,1,"Fry the tofu","2022-12-15 14:48:10","2022-12-15 14:48:10"
215,22,2,"Same pan saute garlic onion tomatoes and let the chicken cube dissolved","2022-12-15 14:48:10","2022-12-15 14:48:10"
216,22,3,"Mix well the tofu","2022-12-15 14:48:10","2022-12-15 14:48:10"
217,23,1,"Cut the sitaw into uniform lengths to ensure even cooking","2022-12-15 14:48:10","2022-12-15 14:48:10"
218,23,2,"For the best texture do not overcook the long beans","2022-12-15 14:48:10","2022-12-15 14:48:10"
219,23,3,"Allow the adobo sauce to reduce before adding the sitaw, increase the heat and then stir-fry the vegetable just until tender-crisp","2022-12-15 14:48:10","2022-12-15 14:48:10"
220,23,4,"To add an extra depth of flavor, stir in 1 to 2 tablespoons of oyster sauce","2022-12-15 14:48:10","2022-12-15 14:48:10"
221,23,5,"Want a bit of heat? Add dried red chili pepper flakes to taste!For crunch and to amp up the presentation garnish with toasted garlic bits before serving","2022-12-15 14:48:10","2022-12-15 14:48:10"
222,23,1,"Cut the sitaw into uniform lengths to ensure even cooking","2022-12-15 14:48:10","2022-12-15 14:48:10"
223,23,2,"For the best texture do not overcook the long beans","2022-12-15 14:48:10","2022-12-15 14:48:10"
224,23,3,"Allow the adobo sauce to reduce before adding the sitaw, increase the heat and then stir-fry the vegetable just until tender-crisp","2022-12-15 14:48:10","2022-12-15 14:48:10"
225,23,4,"To add an extra depth of flavor, stir in 1 to 2 tablespoons of oyster sauce","2022-12-15 14:48:10","2022-12-15 14:48:10"
226,23,5,"Want a bit of heat? Add dried red chili pepper flakes to taste!For crunch and to amp up the presentation garnish with toasted garlic bits before serving","2022-12-15 14:48:10","2022-12-15 14:48:10"
227,24,1,"In a wide pan over medium heat, heat about 3 tablespoons of the oil","2022-12-15 14:48:10","2022-12-15 14:48:10"
228,24,2,"Add eggplant and cook until lightly browned","2022-12-15 14:48:10","2022-12-15 14:48:10"
229,24,3,"Remove from pan and drain on paper towels","2022-12-15 14:48:10","2022-12-15 14:48:10"
230,24,4,"In the pan heat the remaining 1 tablespoon oil","2022-12-15 14:48:10","2022-12-15 14:48:10"
231,24,5,"Add garlic and cook stirring regularly until lightly browned","2022-12-15 14:48:10","2022-12-15 14:48:10"
232,24,6,"Add vinegar water and soy sauce and bring to a boil uncovered and without stirring, for about 2 to 3 minutes until slightly reduced","2022-12-15 14:48:10","2022-12-15 14:48:10"
233,24,7,"Add eggplant and chili peppers","2022-12-15 14:48:10","2022-12-15 14:48:10"
234,24,8,"Cook, covered, for about 4 to 5 minutes or until tender","2022-12-15 14:48:10","2022-12-15 14:48:10"
235,24,9,"Season with salt and pepper to taste","2022-12-15 14:48:10","2022-12-15 14:48:10"
236,24,10,"Serve hot","2022-12-15 14:48:10","2022-12-15 14:48:10"
237,25,1,"Heat oil in a pan","2022-12-15 14:48:10","2022-12-15 14:48:10"
238,25,2,"Saut?Ÿ?? garlic and tomato","2022-12-15 14:48:10","2022-12-15 14:48:10"
239,25,3,"Add the pork","2022-12-15 14:48:10","2022-12-15 14:48:10"
240,25,4,"Cook for 3 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
241,25,5,"Pour 1 cup water","2022-12-15 14:48:10","2022-12-15 14:48:10"
242,25,6,"Let boil","2022-12-15 14:48:10","2022-12-15 14:48:10"
243,25,7,"Adjust the heat to medium and then continue to cook until the liquid completely evaporates","2022-12-15 14:48:10","2022-12-15 14:48:10"
244,25,8,"Add the sliced upo","2022-12-15 14:48:10","2022-12-15 14:48:10"
245,25,9,"Stir and then cook for 5 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
246,25,10,"Season with ground black pepper and fish sauce","2022-12-15 14:48:10","2022-12-15 14:48:10"
247,25,11,"Add water Cook for 2 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
248,25,12,"Transfer to a serving bowl","2022-12-15 14:48:10","2022-12-15 14:48:10"
249,25,13,"ServeShare and enjoy","2022-12-15 14:48:10","2022-12-15 14:48:10"
