id,recipe_id,direction_number,direction,,
130,13,1,In a medium pan get it nice and war over high-medium heat add in the oil and saut?Ÿ?? the onions and garlic until soft and brown,,
131,13,2,Add in the ampalaya leaves water Knorr Chicken Cubes and deboned tinapa flakes,,
132,13,3,Let the dish simmer until all ingredients are fully cooked,,
133,14,1,Heat the cooking oil in a pan,,
134,14,2,"Saut?Ÿ?? the garlic, onion, and tomato When the tomato becomes soft add the ground pork and then cook for 6 to 8 minutes",,
135,14,3,Put-in the chayote,,
136,14,4,Stir Cover Let boil and simmer for 7 to 10 minutes,,
137,14,5,Add salt and ground black pepper,,
138,14,6,Stir Serve with hot rice Share and enjoy!,,
139,15,1,Begin by getting a bowl and combine rock salt and banana heart,,
140,15,2,Leave this for 10 minutes Wash and squeeze well and repeat the process 2 - 3 times,,
141,15,3,Drain excess water,,
142,15,4,Set aside Get another bowl and combine the eggs banana heart garlic onions carrots dissolved Knorr Pork Cubes and 2 tbsp flour,,
143,15,5,Mix this well and shape into balls,,
144,15,6,Prepare 3 shallow trays for flour egg and breadcrumb mixture,,
145,15,7,"Coat the banana heart balls in flour, dip it in beaten egg before rolling it in breadcrumbs",,
146,15,8,Fry the banana balls in a preheated pan filled with cooking oil and cook until brown in color,,
147,15,9,Get ready to taste and pair this with your favourite condiment of ketchup or sweet chili sauce,,
148,15,10,You will just love how delicious and healthy this dish is,,
149,16,1,First get a pot and get it nice and hot over medium high heat,,
150,16,2,Pour some oil and throw in the onion and half of the ginger,,
151,16,3,Gently add the chicken and saut?Ÿ?? for a good 1 minute,,
152,16,4,Drizzle fish sauce over and mix this well,,
153,16,5,Place the sayote and coconut meat before pouring the coconut water and the remaining ginger,,
154,16,6,Let this simmer for a minute before adding the Knorr Chicken Cubes,,
155,16,7,When the Chicken and vegetables are cooked through top the Tinola with dahon ng sili and simmer for another minute,,
156,16,8,This Tinola sa Buko definitely soothes and comforts,,
157,16,9,Serve this to your family and see their love for you grow immensely,,
158,17,1,Begin by getting your pan nice and hot over medium high heat,,
159,17,2,Pour some oil and throw in the garlic and saut?Ÿ?? this until lightly brown,,
160,17,3,"Into the pan toss the beef and saut?Ÿ?? a good 1 minute over high heat, continue cooking until meat turns brown",,
161,17,4,Remove the meat and set this aside,,
162,17,5,"Using the same pan, add the water next and bring this to a boil before adding the Knorr Beef Cube and sigarilyas",,
163,17,6,Simmer until the vegetable is cooked,,
164,17,7,Return the beef back and just give this a nice sprinkle of Knorr Liquid Seasoning sugar and pepper,,
165,17,8,Mix well before adding the cornstarch dissolved in water,,
166,17,9,Continue to cook until sauce thickens and thats our dish Just taste and adjust the seasoning,,
167,18,1,"In a large pot Add the water place the cubed squash, chopped onion and Knorr Chicken Cubes and let it simmer until the squash cubes are fork tender",,
168,18,2,Once the squash is soft and tender add the malunggay leaves and let it simmer for about 1 minute,,
169,18,1,Begin by making the annatto seed oil by saut?Ÿ??ing 1 tablespoon of atsuete seeds in 3 tablespoons vegetable oil,,
170,18,2,"Once the seeds turn dark, remove and discard",,
171,18,3,Next peel back corn husks making sure they are still attached,,
172,18,4,Remove and discard silk or corn hair,,
173,18,5,Pull the husks back over the corn and let it soak in cold water for about 10 minutes (this is to prevent the corn from burning when grilling),,
174,18,6,"Set the grill on high heat and grill the corn, rotating occasionally until the husks are slightly charred and corn is tender",,
175,18,7,This will take about 15 to 20 minutes,,
176,18,8,Get a bowl and combine softened butter Knorr Liquid Seasoning Knorr Chicken Cube grated ginger and annatto seed oil,,
177,18,9,Carefully peel back husks with towel using a knife,,
178,18,10,Brush to coat the kernels with Knorr inasal mixture and that?›ƒ?ªƒ?›s it,,
179,18,11,Serve hot with your favourite grilled meat or eat as is,,
180,18,12,This will definitely make your day,,
181,19,1,Begin by making the annatto seed oil by saut?Ÿ??ing 1 tablespoon of atsuete seeds in 3 tablespoons vegetable oil,,
182,19,2,"Once the seeds turn dark, remove and discard",,
183,19,3,Next peel back corn husks making sure they are still attached,,
184,19,4,Remove and discard silk or corn hair,,
185,19,5,Pull the husks back over the corn and let it soak in cold water for about 10 minutes (this is to prevent the corn from burning when grilling),,
186,19,6,"Set the grill on high heat and grill the corn, rotating occasionally until the husks are slightly charred and corn is tender",,
187,19,7,This will take about 15 to 20 minutes,,
188,19,8,Get a bowl and combine softened butter Knorr Liquid Seasoning Knorr Chicken Cube grated ginger and annatto seed oil,,
189,19,9,Carefully peel back husks with towel using a knife,,
190,19,10,Brush to coat the kernels with Knorr inasal mixture and that?›ƒ?ªƒ?›s it,,
191,19,11,Serve hot with your favourite grilled meat or eat as is,,
192,19,12,This will definitely make your day,,
193,20,1,Heat a cooking pot then and add the bacon fat,,
194,20,2,Saut?Ÿ?? the ginger for 1 to 2 minutes,,
195,20,3,Add the chicken and cook until outer part turns brown,,
196,20,4,Pour-in the fish sauce and cook in low heat for 5 minutes,,
197,20,5,Pour the chicken broth and increase the heat to medium then let boil,,
198,20,6,Simmer for 30 minutes or until the chicken is tender and at least half of the liquid evaporates,,
199,20,7,Add the spinach and cook for a few seconds,,
200,20,8,Turn of heat and cover for at least 2 minutes to further cook the spinach,,
201,20,9,Transfer to a serving bowl and serve share and enjoy!,,
202,21,1,Bring the mung beans and the water to a boil in a pot cook at a boil until the beans are soft about 40 minutes,,
203,21,2,Mash the beans set aside,,
204,21,3,Heat the olive oil in a large pot cook and stir the onion and garlic in the hot oil over medium heat until softened 5 to 7 minutes,,
205,21,4,Add the pork season with salt and pepper,,
206,21,5,Continue cooking the mixture another 3 minutes,,
207,21,6,Gently stir the prawns into the mixture cook 2 minutes more,,
208,21,7,Add the tomatoes cook another 3 minutes,,
209,21,8,Reduce heat and pour the chicken broth over the mixture allow the mixture to simmer in the broth for 5 minutes,,
210,21,9,Add the mashed beans to the soup; mix well,,
211,21,10,"Cook another 5 minutes, stirring frequently to prevent any of the mixture from sticking to the bottom of the pot",,
212,21,11,Add more chicken broth or water if the soup is too thick,,
213,21,12,Stir the spinach leaves into the soup and cook 2 minutes more before serving hot,,
214,22,1,Fry the tofu,,
215,22,2,Same pan saute garlic onion tomatoes and let the chicken cube dissolved,,
216,22,3,Mix well the tofu,,
217,23,1,Cut the sitaw into uniform lengths to ensure even cooking,,
218,23,2,For the best texture do not overcook the long beans,,
219,23,3,"Allow the adobo sauce to reduce before adding the sitaw, increase the heat and then stir-fry the vegetable just until tender-crisp",,
220,23,4,"To add an extra depth of flavor, stir in 1 to 2 tablespoons of oyster sauce",,
221,23,5,Want a bit of heat? Add dried red chili pepper flakes to taste!For crunch and to amp up the presentation garnish with toasted garlic bits before serving,,
222,23,1,Cut the sitaw into uniform lengths to ensure even cooking,,
223,23,2,For the best texture do not overcook the long beans,,
224,23,3,"Allow the adobo sauce to reduce before adding the sitaw, increase the heat and then stir-fry the vegetable just until tender-crisp",,
225,23,4,"To add an extra depth of flavor, stir in 1 to 2 tablespoons of oyster sauce",,
226,23,5,Want a bit of heat? Add dried red chili pepper flakes to taste!For crunch and to amp up the presentation garnish with toasted garlic bits before serving,,
227,24,1,"In a wide pan over medium heat, heat about 3 tablespoons of the oil",,
228,24,2,Add eggplant and cook until lightly browned,,
229,24,3,Remove from pan and drain on paper towels,,
230,24,4,In the pan heat the remaining 1 tablespoon oil,,
231,24,5,Add garlic and cook stirring regularly until lightly browned,,
232,24,6,"Add vinegar water and soy sauce and bring to a boil uncovered and without stirring, for about 2 to 3 minutes until slightly reduced",,
233,24,7,Add eggplant and chili peppers,,
234,24,8,"Cook, covered, for about 4 to 5 minutes or until tender",,
235,24,9,Season with salt and pepper to taste,,
236,24,10,Serve hot,,
237,25,1,Heat oil in a pan,,
238,25,2,Saut?Ÿ?? garlic and tomato,,
239,25,3,Add the pork,,
240,25,4,Cook for 3 minutes,,
241,25,5,Pour 1 cup water,,
242,25,6,Let boil,,
243,25,7,Adjust the heat to medium and then continue to cook until the liquid completely evaporates,,
244,25,8,Add the sliced upo,,
245,25,9,Stir and then cook for 5 minutes,,
246,25,10,Season with ground black pepper and fish sauce,,
247,25,11,Add water Cook for 2 minutes,,
248,25,12,Transfer to a serving bowl,,
249,25,13,ServeShare and enjoy,,
250,26,1,In a medium pot get it nice and warm over medium-high heat,,
251,26,2,Add the oil then saut?Ÿ?? onions and garlic until soft and aromatic,,
252,26,3,"Put in the sliced potatoes, then add your Knorr chicken cubes and water",,
253,26,4,Let it boil then lower the heat to simmer,,
254,26,5,Cook until potatoes are nice and tender,,
255,26,6,Season with salt and pepper to taste,,
256,27,1,In a non-stick pan add a small amount of oil then pan fry cubed potatoes until golden brown on some sides and crunchy,,
257,27,2,Season eggs with salt then pour into the pan making sure potatoes are coated with egg continue to cook  until eggs are set and firm,,
258,27,3,Remove from pan then serve enjoy on its own or with ketchup,,
259,28,1,Rub salt all over the fish,,
260,28,2,Let it stay for 5 minutes,,
261,28,3,Distribute the pork fat in a cooking pot,,
262,28,4,Add kamias onion tomato ginger and long green pepper,,
263,28,5,Arrange the fish over the ingredients and season with ground black pepper,,
264,28,6,Pour water into the pot,,
265,28,7,Cover it and turn the stove on,,
266,28,8,Let the water boil,,
267,28,9,Adjust heat to low,,
268,28,10,Continue cooking for 15 minutes,,
269,28,11,Adjust the seasoning by adding salt if needed,,
270,28,12,Continue cooking without covering the pot until the sauce reduces to half,,
271,28,13,Transfer to a serving plate,,
272,28,14,Serve with warm rice Share and enjoy!,,
273,29,1,Cook this delightful and pleasing soup in an instant,,
274,29,2,"You just need to grab a pot and with a little bit of oil, over medium high heat, saut?Ÿ?? chicken breasts and crushed garlic together",,
275,29,3,"Now, you have to stir this well and pour a little water to prevent the chicken and garlic from sticking to the pan",,
276,29,4,Now you will see that the chicken will turn white,,
277,29,5,"Pour 4 cups of water, add Knorr Chicken Cubes and bring this to a boil",,
278,29,6,You should be able to smell the aroma of the cooked chicken in the broth,,
279,29,7,Next lower the hear to medium-low setting then drop the upo and patola into the pot and let these simmer for another 3 minutes before adding the raw egg,,
280,29,8,Add the misua and bring to a boil until cooked,,
281,29,9,Go that extra mile when you serve this dish to your family by topping your soup with boiled eggs just before serving,,
282,29,10,A little love goes a long way,,
283,30,1,Begin by getting your pan nice and hot over medium high heat,,
284,30,2,Pour some oil and throw in the onion and garlic and just saut?Ÿ?? until toasted,,
285,30,3,Gently add the carrots and tinapa flakes in and give this a minute to cook,,
286,30,4,Pour in the Knorr Liquid Seasoning and mix this well,,
287,30,5,Remove from heat and set aside to cool down,,
288,30,6,"Now place a spoonful of the mixture in the lumpia wrapper, roll into a log and seal with a flour-water mixture or beaten egg",,
289,30,7,Deep fry in hot oil until brown and crisp,,
290,30,8,Drain on a plate lined with paper towels and that?›ƒ?ªƒ?›s our dish! You will definitely eat more than usual when your mom serves you Crispy Tinapa Rolls,,
291,30,9,This recipe will surely keep you coming back for more!,,
292,31,1,Line each pan with Banana leaf then grease with melted butter,,
293,31,2,Set aside,,
294,31,3,For the Bibingka mixture: Sift together Cake flour Rice flour Sugar and baking powder,,
295,31,4,Add in the coconut milk melted margarine eggs and grated Eden Original,,
296,31,5,Mix until blended,,
297,31,6,Pour Bibingka mixture onto the prepared pans,,
298,31,7,Top with sliced Salted Egg,,
299,31,8,Steam for 15-20 minutes or until the center is firm,,
300,31,9,Let it cool,,
301,31,10,Slightly grill the bottom part over low flame,,
302,31,11,Brush with melted margarine then top with Eden Original strips and granulated sugar,,
303,31,12,Optional To make the top golden brown in color bake for at least 3-5 minutes using an oven toaster,,
304,32,1,"To prepare the crust, combine all the ingredients until well incorporated",,
305,32,2,Press into the bottom of a 7?›ƒ?ª? cake or spring form pan and chill for 10-15 minutes,,
306,32,3,"To make the Cheesecake base, mix the cream cheese, sugar and vanilla until well combined",,
307,32,4,"In a small pot, melt the gelatin over low heat until dissolved then gradually add into the cream cheese mixture",,
308,32,5,Mix until well blended,,
309,32,6,Fold the whipped cream into cream cheese mixture,,
310,32,7,Pour and spread into the prepared crust,,
311,32,8,Freeze for atleast 4 hours or until set,,
312,32,9,Top with whipped cream and OREO Cookies,,
313,33,1,To prepare the filling mix together Eden cream cheese whipped Nestle All-Purpose Cream and condensed milk until fully combined,,
314,33,2,Add in half of the sliced Mango,,
315,33,3,To assemble layer the Graham Crackers then add in 1 cup of the mixture,,
316,33,4,Repeat until you created four layers of Graham Crackers and filling,,
317,33,5,Top with the remaining sliced Mango chill for at least 4 hours then serve,,
318,34,1,Roll the banana on the brown sugar,,
319,34,2,Place the banana with sugar coating in the lumpia wrapper,,
320,34,3,Add Eden cheese slices,,
321,34,4,Fold and lock the wrapper then use water to seal the edge,,
322,34,5,In a pan heat the oil,,
323,34,6,Put in the wrapped banana and fry until the wrapper turns golden brown,,
324,34,7,Serve warm,,
325,35,1,Pour the coconut milk in a pot and bring to a boil,,
326,35,2,"Add the sugar, condensed milk, and whole sweet kernel corn",,
327,35,3,Stir until all the ingredients are evenly distributed,,
328,35,4,Simmer for 8 minutes,,
329,35,5,Dilute the cornstarch in the milk,,
330,35,6,Pour the mixture in the pot and stir thoroughly,,
331,35,7,Cook while stirring until the mixture reaches your desired thickness,,
332,35,8,Stir in Eden cheese,,
333,36,1,Preheat the oven to 325F,,
334,36,2,Line cookie sheet with parchment paper or foil,,
335,36,3,Combine all the ingredients in a large bowl,,
336,36,4,Stir until well combined,,
337,36,5,"Drop dough by rounded tablespoons, 1 inch apart, on prepared cookie sheets",,
338,36,6,Bake for 25 minutes until lightly golden,,
339,36,7,Cool for 1 minute,,
340,36,8,May be served warm or at room temperature,,
341,37,1,In a bowl combine chicken red chili powder white pepper powder dried basil dried parsley dried rosemary corn flour ginger garlic mint leaves and green chili,,
342,37,2,Mix well,,
343,37,3,Form 2-inch balls from chicken mixture and place on a lined baking pan,,
344,37,4,Flatten each ball place a cheese cube and roll back into a ball,,
345,37,5,Repeat the process,,
346,37,6,Dip each ball in the egg white and coat evenly with breadcrumbs,,
347,38,1,"In a bowl, combine the flour, cornstarch, egg, garlic, water, fish sauce, and pepper",,
348,38,2,Mix until free from lumps,,
349,38,3,"Add the squash, green onions, carrots, and shrimp",,
350,38,4,"In a frying pan, heat the oil and deep fry the fritters until crispy and lightly brown",,
351,38,5,"Once cooked, drain the okoy fritters on a paper towel",,
352,38,6,Top with grated Eden Original cheese while hot then serve,,
353,39,1,Cut the camote into strips,,
354,39,2,Add the brown sugar and flour to the water and stir until well blended,,
355,39,3,Mix the camote strips and flour mixture with a spoon,,
356,39,4,Heat the oil in a frying pan or deep pan,,
357,39,5,Fry battered camote until golden brown,,
358,39,6,Mix grated Eden cheese and sugar on a plate,,
359,39,7,Roll maruya in the mixture before serving on top of banana leaves,,
360,40,1,Brush the one side of each tortilla with butter,,
361,40,2,"Place the two tortillas, buttered side down, on a griddle",,
362,40,3,"Add the Eden cheese, onion, tomato, and chicken",,
363,40,4,"Top with the remaining tortillas, buttered side up",,
364,40,5,Cook over medium heat for 3-4 minutes on each side or until lightly browned,,
365,40,6,Cut into wedges,,
366,41,1,Fill a large pot with lightly salted water and bring to a rolling boil; stir in vermicelli pasta and return to a boil,,
367,41,2,"Cook pasta uncovered, stirring occasionally, until the pasta is tender yet firm to the bite, 3 to 5 minutes",,
368,41,3,Fill a large bowl with warm water,,
369,41,4,Dip one wrapper into the hot water for 1 second to soften,,
370,41,5,"Lay wrapper flat; place 2 shrimp halves in a row across the center, add some vermicelli, lettuce, mint, cilantro, and basil, leaving about 2 inches uncovered on each side",,
371,41,6,"Fold uncovered sides inward, then tightly roll the wrapper, beginning at the end with lettuce",,
372,41,7,Repeat with remaining ingredients,,
373,41,8,"Mix water, lime juice, sugar, fish sauce, garlic, and chili sauce in a small bowl until well combined",,
374,41,9,Mix hoisin sauce and peanuts in a separate small bowl,,
375,41,10,Serve rolled spring rolls with fish sauce and hoisin sauce mixtures,,
376,42,1,"Boil water, sugar, salt, and vegetable oil",,
377,42,2,"Remove from the heat, then stir in flour",,
378,42,3,Transfer the dough to a pastry bag and pipe into strips,,
379,42,4,Fry the strips in hot oil until they&#039;re golden,,
380,42,5,"Drain the churros, then roll in cinnamon-sugar",,
381,42,6,Keep the oil temperature consistently between 350 and 375 degrees F (175 and 190 degrees C) as you fry,,
382,42,7,"If it gets too hot, turn off the heat and let the temperature drop down to that range",,
383,43,1,Heat the oil to 365 degrees F in a heavy saucepan,,
384,43,2,"One at a time, coat each mozzarella stick in the flour mixture, then the egg mixture, then in the garlic-spiked bread crumbs",,
385,43,3,"Drop the sticks into the hot oil and fry for about 30 seconds, or until golden-brown",,
386,43,4,Drain the fried mozzarella sticks on paper towels,,
387,44,1,Preheat oven to 350 degrees F (175 degrees C),,
388,44,2,Stack tortillas in layers of 5 or 6,,
389,44,3,Cut through each stack to make 8 wedges,,
390,44,4,Arrange wedges in a single layer on rimmed baking sheets,,
391,44,5,Combine lime juice and oil in a spray bottle or mister; shake until well mixed,,
392,44,6,Spray the tops of the tortilla wedges until slightly moist,,
393,44,7,"Combine cumin, chili powder, and salt in a small bowl; sprinkle mixture over the chips",,
394,44,8,Bake in the preheated oven for 7 minutes,,
395,44,9,Remove from the oven,,
396,44,10,"Flip chips, then mist and season again",,
397,44,11,"Return to the oven, rotating the pans and switching racks",,
398,44,12,"Bake, checking often to ensure they don&#039;t burn, until chips are lightly browned and crisp, 5 to 8 more minutes",,
399,44,13,Remove from the oven and cool slightly before serving,,
400,44,14,Chips will crisp up more as they cool,,
401,45,1,Heat vegetable oil in a large pot over medium heat,,
402,45,2,Stir in popcorn kernels and sugar,,
403,45,3,Cover and shake the pot constantly to prevent sugar from burning,,
404,45,4,"When popping has slowed to once every 2 to 3 seconds, remove the pot from the heat and shake for a few minutes until popping stops",,
405,45,5,"Pour popcorn into a large bowl and allow to cool, stirring occasionally to break up large clumps",,
406,46,1,Preheat the oven to 350 degrees F (175 degrees C),,
407,46,2,Prepare a baking sheet with cooking spray,,
408,46,3,Clean mushrooms with a damp paper towel,,
409,46,4,Carefully break stems from mushrooms,,
410,46,5,Finely chop stems and set caps aside,,
411,46,6,Heat oil in a large skillet over medium heat,,
412,46,7,"Fry chopped mushroom stems and garlic in hot oil until any moisture has disappeared, taking care not to burn the garlic, 3 to 5 minutes",,
413,46,8,"Spread mushroom mixture into a bowl to cool completely, about 10 minutes",,
414,46,9,"Stir cream cheese, Parmesan cheese, black pepper, onion powder, and cayenne pepper into the cooled mushroom mixture until very thick and completely mixed",,
415,46,10,Use a small spoon to fill each mushroom cap with a generous amount of stuffing,,
416,46,11,Arrange stuffed mushrooms on the prepared cookie sheet,,
417,46,12,"Bake in the preheated oven until piping hot and liquid starts to form under each cap, about 20 minutes",,
418,47,1,Heat olive oil in a large skillet over medium heat,,
419,47,2,"Add ground beef; cook and stir until browned and crumbly, about 10 minutes",,
420,47,3,"Add onions and cook until soft, about 5 minutes",,
421,47,4,"Stir in tomato sauce, olives, sofrito, saz?Ÿ??n, garlic, oregano, and pepper",,
422,47,5,"Reduce the heat to medium-low and simmer until mixture thickens, about 15 minutes",,
423,47,6,Roll empanada disks on a lightly floured surface until 1/2 inch larger in diameter,,
424,47,7,Spoon about 1 tablespoon meat mixture into the middle of each disk,,
425,47,8,"Moisten the disk edges with water, fold in half over filling to form a half-moon, and pinch to seal (or seal with a fork)",,
426,47,9,Heat 2 1/2 inches corn oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C),,
427,47,10,"Working in batches, fry empanadas until crisp and golden brown, flipping once, 4 to 6 minutes",,
428,47,11,Transfer to paper towels to drain,,
429,48,1,Preheat oven to 350 degrees F (175 degrees C),,
430,48,2,Grease a 9x13-inch baking dish,,
431,48,3,"In a bowl, mix together butter, Dijon mustard, Worcestershire sauce, poppy seeds, and dried onion",,
432,48,4,"Separate the tops from bottoms of the rolls, and place the bottom pieces into the prepared baking dish",,
433,48,5,Layer about half the ham onto the rolls,,
434,48,6,"Arrange the Swiss cheese over the ham, and top with remaining ham slices in a layer",,
435,48,7,Place the tops of the rolls onto the sandwiches,,
436,48,8,Pour the mustard mixture evenly over the rolls,,
437,48,9,"Bake in the preheated oven until the rolls are lightly browned and the cheese has melted, about 20 minutes",,
438,48,10,Slice into individual rolls through the ham and cheese layers to serve,,
439,49,1,Preheat the oven to 375 degrees F (190 degrees C),,
440,49,2,Unroll crescent dough,,
441,49,3,Pinch or press the perforation between the triangles to get 4 rectangular pieces,,
442,49,4,Cut rectangles in half lengthwise so you have 8 narrow strips,,
443,49,5,Make a 2-inch slice through the center of one end of a hot dog,,
444,49,6,"Cut two more 2-inch slices on either side of that, so that the &#039;legs&#039; are about the same thickness",,
445,49,7,Repeat on the other end,,
446,49,8,Cut into the remaining hot dogs,,
447,49,9,Roll a crescent strip around the center of each dog,,
448,49,10,Place spider dogs on an ungreased baking sheet,,
449,49,11,"Bake in the preheated oven until golden brown, about 11 minutes",,
450,49,12,Dip a chopstick into some ketchup and dot &#039;eyes&#039; onto each spider,,
451,49,13,Serve with remaining ketchup,,
452,50,1,Combine all cereals in a large bowl; set aside,,
453,50,2,"Place chocolate chips, peanut butter, and butter in a 1-quart microwave-safe bowl",,
